"","single_use_utensil_bylaw_opinion","age","gender","education","household_income","location"
"631","Strongly oppose","Male","49","University graduate degree","Less than $5,000","ETOBICOKE"
"632","Strongly support","Female","25","Graduated from college / CEGEP / Trade School","Less than $5,000","SCARBOROUGH"
"633","Strongly support","Male","32","Graduated high school","$15,000-$19,999","SCARBOROUGH"
"634","Strongly support","Male","58","Graduated from college / CEGEP / Trade School","$85,000-$89,999","TORONTO"
"635","Somewhat support","Male","37","University graduate degree","$15,000-$19,999","TORONTO"
"636","Strongly support","Male","31","University undergraduate degree","$95,000-$99,999","TORONTO"
"637","Neither support nor oppose","Female","57","University undergraduate degree","$40,000-$44,999","YORK"
"638","Strongly support","Male","42","Graduated from college / CEGEP / Trade School","$20,000-$24,999","TORONTO"
"639","Somewhat oppose","Female","42","University undergraduate degree","$100,000-$124,999","TORONTO"
"640","Strongly support","Male","35","University undergraduate degree","$125,000-$149,999","YORK"
"641","Somewhat oppose","Male","59","Graduated from college / CEGEP / Trade School","$85,000-$89,999","ETOBICOKE"
"642","Strongly support","Female","63","Some college / CEGEP / Trade School","$80,000-$84,999","TORONTO"
"643","Strongly support","Male","33","University graduate degree","$95,000-$99,999","SCARBOROUGH"
"644","Strongly support","Female","27","University graduate degree","$90,000-$94,999","TORONTO"
"645","Strongly support","Male","34","Graduated from college / CEGEP / Trade School","$80,000-$84,999","NORTH YORK"
"646","Strongly support","Male","43","University undergraduate degree","$125,000-$149,999","TORONTO"
"647","Somewhat support","Male","76","University undergraduate degree","$65,000-$69,999","SCARBOROUGH"
"648","Somewhat support","Male","69","Graduated from college / CEGEP / Trade School","$85,000-$89,999","NORTH YORK"
"649","Somewhat support","Female","64","University undergraduate degree","$125,000-$149,999","TORONTO"
"650","Somewhat support","Male","52","Graduated from college / CEGEP / Trade School","$80,000-$84,999","NORTH YORK"
"651","Strongly support","Female","77","University undergraduate degree","$15,000-$19,999","NORTH YORK"
"652","Strongly support","Male","76","University graduate degree","$90,000-$94,999","TORONTO"
"653","Strongly support","Male","61","University graduate degree","$150,000-$199,999","NORTH YORK"
"654","Strongly support","Female","33","University graduate degree","Prefer not to answer","YORK"
"655","Neither support nor oppose","Male","58","Graduated high school","$10,000-$14,999","YORK"
"656","Strongly support","Male","35","University graduate degree","$200,000-$249,999","TORONTO"
"657","Strongly support","Female","33","Some college / CEGEP / Trade School","$20,000-$24,999","NORTH YORK"
"658","Neither support nor oppose","Female","55","University undergraduate degree","Prefer not to answer","TORONTO"
"659","Strongly support","Female","79","Some college / CEGEP / Trade School","$20,000-$24,999","EAST YORK"
"660","Somewhat support","Male","55","Graduated high school","$20,000-$24,999","YORK"
"661","Somewhat support","Female","54","Some college / CEGEP / Trade School","$20,000-$24,999","TORONTO"
"662","Strongly support","Female","66","University undergraduate degree","$35,000-$39,999","ETOBICOKE"
"663","Strongly support","Female","64","Graduated high school","$45,000-$49,999","NORTH YORK"
"664","Strongly support","Female","34","University graduate degree","Prefer not to answer","TORONTO"
"665","Strongly support","Male","68","Some college / CEGEP / Trade School","$45,000-$49,999","ETOBICOKE"
"666","Somewhat support","Female","45","University graduate degree","$55,000-$59,999","TORONTO"
"667","Neither support nor oppose","Male","44","University undergraduate degree","$35,000-$39,999","TORONTO"
"668","Strongly support","Male","60","Graduated high school","$10,000-$14,999","SCARBOROUGH"
"669","Strongly support","Female","40","Graduated from college / CEGEP / Trade School","$125,000-$149,999","ETOBICOKE"
"670","Somewhat support","Female","49","University undergraduate degree","$75,000-$79,999","NORTH YORK"
"671","Strongly oppose","Female","26","University undergraduate degree","$55,000-$59,999","SCARBOROUGH"
"672","Strongly support","Female","60","University graduate degree","$150,000-$199,999","TORONTO"
"673","Somewhat support","Female","34","University graduate degree","$75,000-$79,999","TORONTO"
"674","Somewhat support","Female","40","Some college / CEGEP / Trade School","$85,000-$89,999","SCARBOROUGH"
"675","Somewhat oppose","Female","61","University undergraduate degree","$55,000-$59,999","ETOBICOKE"
"676","Somewhat support","Female","81","Graduated from college / CEGEP / Trade School","$55,000-$59,999","EAST YORK"
"677","Strongly support","Male","34","Graduated from college / CEGEP / Trade School","$80,000-$84,999","TORONTO"
"678","Somewhat support","Male","52","Graduated from college / CEGEP / Trade School","$50,000-$54,999","TORONTO"
"679","Strongly support","Male","52","University undergraduate degree","$125,000-$149,999","TORONTO"
"680","Somewhat oppose","Male","43","University undergraduate degree","$125,000-$149,999","TORONTO"
"681","Somewhat support","Female","49","University undergraduate degree","$75,000-$79,999","NORTH YORK"
"682","Strongly support","Male","32","University undergraduate degree","$85,000-$89,999","TORONTO"
"683","Strongly support","Male","26","University graduate degree","$40,000-$44,999","TORONTO"
"684","Strongly support","Male","18","Graduated high school","$55,000-$59,999","SCARBOROUGH"
"685","Strongly oppose","Male","55","Some college / CEGEP / Trade School","$60,000-$64,999","TORONTO"
"686","Don?t know","Female","39","Graduated high school","Prefer not to answer","YORK"
"687","Somewhat support","Female","29","University undergraduate degree","$90,000-$94,999","TORONTO"
"688","Strongly support","Male","72","Some college / CEGEP / Trade School","$35,000-$39,999","NORTH YORK"
"689","Strongly oppose","Female","27","University graduate degree","$65,000-$69,999","TORONTO"
"690","Strongly support","Male","37","University undergraduate degree","$150,000-$199,999","TORONTO"
"691","Strongly support","Male","38","Some high school","$40,000-$44,999","TORONTO"
"692","Strongly support","Male","48","Graduated from college / CEGEP / Trade School","$30,000-$34,999","TORONTO"
"693","Somewhat support","Male","48","Graduated high school","$35,000-$39,999","NORTH YORK"
"694","Strongly support","Female","69","Some college / CEGEP / Trade School","$55,000-$59,999","ETOBICOKE"
"695","Somewhat support","Female","47","University graduate degree","Prefer not to answer","TORONTO"
"696","Somewhat support","Male","22","Graduated high school","$80,000-$84,999","ETOBICOKE"
"697","Neither support nor oppose","Male","28","University undergraduate degree","Prefer not to answer","TORONTO"
"698","Strongly support","Male","24","Graduated high school","$65,000-$69,999","EAST YORK"
"699","Don?t know","Female","34","Graduated from college / CEGEP / Trade School","Prefer not to answer","TORONTO"
"700","Neither support nor oppose","Male","47","Graduated from college / CEGEP / Trade School","$70,000-$74,999","TORONTO"
"701","Neither support nor oppose","Male","16","Some high school","Prefer not to answer","NORTH YORK"
"702","Somewhat support","Male","37","University graduate degree","$85,000-$89,999","TORONTO"
"703","Somewhat support","Male","52","Some high school","$95,000-$99,999","ETOBICOKE"
"704","Neither support nor oppose","Male","63","Some college / CEGEP / Trade School","$30,000-$34,999","TORONTO"
"705","Neither support nor oppose","Male","55","Graduated from college / CEGEP / Trade School","$100,000-$124,999","ETOBICOKE"
"706","Strongly support","Male","56","Graduated high school","$15,000-$19,999","YORK"
"707","Somewhat support","Male","69","Graduated high school","$30,000-$34,999","ETOBICOKE"
"708","Neither support nor oppose","Male","23","University undergraduate degree","$25,000-$29,999","TORONTO"
"709","Somewhat oppose","Female","16","Some high school","$10,000-$14,999","SCARBOROUGH"
"710","Strongly support","Female","37","Graduated high school","$30,000-$34,999","EAST YORK"
"711","Somewhat support","Male","33","University graduate degree","$80,000-$84,999","TORONTO"
"712","Somewhat support","Female","63","University undergraduate degree","$55,000-$59,999","ETOBICOKE"
"713","Strongly support","Male","22","Graduated from college / CEGEP / Trade School","$15,000-$19,999","YORK"
"714","Strongly support","Female","35","University undergraduate degree","$85,000-$89,999","NORTH YORK"
"715","Strongly support","Female","29","University undergraduate degree","$95,000-$99,999","TORONTO"
"716","Somewhat oppose","Male","53","University undergraduate degree","$15,000-$19,999","NORTH YORK"
"717","Strongly support","Male","27","University undergraduate degree","$75,000-$79,999","ETOBICOKE"
"718","Somewhat support","Male","36","University undergraduate degree","$40,000-$44,999","NORTH YORK"
"719","Somewhat support","Male","52","University undergraduate degree","$80,000-$84,999","NORTH YORK"
"720","Strongly support","Male","22","Graduated from college / CEGEP / Trade School","Prefer not to answer","TORONTO"
"721","Strongly support","Female","76","University undergraduate degree","$50,000-$54,999","TORONTO"
"722","Somewhat support","Female","40","University undergraduate degree","$125,000-$149,999","TORONTO"
"723","Strongly support","Female","63","University undergraduate degree","$70,000-$74,999","NORTH YORK"
"724","Somewhat support","Female","61","Some high school","$15,000-$19,999","SCARBOROUGH"
"725","Strongly support","Female","65","University graduate degree","$100,000-$124,999","YORK"
"726","Somewhat support","Male","36","Graduated from college / CEGEP / Trade School","Prefer not to answer","SCARBOROUGH"
"727","Somewhat support","Male","67","Graduated from college / CEGEP / Trade School","$45,000-$49,999","NORTH YORK"
"728","Strongly support","Female","34","Graduated from college / CEGEP / Trade School","$75,000-$79,999","SCARBOROUGH"
"729","Somewhat support","Male","45","University graduate degree","$45,000-$49,999","NORTH YORK"
"730","Somewhat support","Female","53","Graduated from college / CEGEP / Trade School","$125,000-$149,999","ETOBICOKE"
"731","Strongly support","Female","30","University graduate degree","$95,000-$99,999","NORTH YORK"
"732","Somewhat oppose","Female","44","University graduate degree","$150,000-$199,999","TORONTO"
"733","Strongly support","Male","27","University undergraduate degree","$85,000-$89,999","TORONTO"
"734","Don?t know","Male","21","Some college / CEGEP / Trade School","Prefer not to answer","NORTH YORK"
"735","Somewhat support","Female","44","Graduated high school","$45,000-$49,999","SCARBOROUGH"
"736","Strongly support","Male","32","University undergraduate degree","$85,000-$89,999","TORONTO"
"737","Strongly support","Male","34","Some college / CEGEP / Trade School","$95,000-$99,999","TORONTO"
"738","Neither support nor oppose","Female","32","Graduated from college / CEGEP / Trade School","$45,000-$49,999","NORTH YORK"
"739","Neither support nor oppose","Male","62","University undergraduate degree","$50,000-$54,999","SCARBOROUGH"
"740","Strongly support","Male","69","Graduated high school","$35,000-$39,999","ETOBICOKE"
"741","Strongly support","Male","22","University undergraduate degree","$50,000-$54,999","NORTH YORK"
"742","Strongly support","Female","23","University graduate degree","$60,000-$64,999","SCARBOROUGH"
"743","Strongly support","Female","29","Graduated from college / CEGEP / Trade School","Prefer not to answer","EAST YORK"
"744","Strongly support","Male","41","University graduate degree","$75,000-$79,999","NORTH YORK"
"745","Somewhat oppose","Female","59","Graduated from college / CEGEP / Trade School","$45,000-$49,999","TORONTO"
"746","Strongly support","Male","69","Graduated high school","$95,000-$99,999","SCARBOROUGH"
"747","Strongly support","Male","44","Graduated from college / CEGEP / Trade School","$70,000-$74,999","TORONTO"
"748","Strongly support","Female","62","University undergraduate degree","$75,000-$79,999","TORONTO"
"749","Strongly support","Male","35","University graduate degree","$95,000-$99,999","TORONTO"
"750","Somewhat support","Female","79","Some college / CEGEP / Trade School","$10,000-$14,999","ETOBICOKE"
"751","Strongly support","Female","64","University graduate degree","$100,000-$124,999","ETOBICOKE"
"752","Somewhat support","Female","65","University undergraduate degree","$100,000-$124,999","NORTH YORK"
"753","Strongly support","Female","22","University undergraduate degree","$60,000-$64,999","EAST YORK"
"754","Somewhat support","Female","27","University undergraduate degree","$70,000-$74,999","EAST YORK"
"755","Strongly support","Female","45","University undergraduate degree","$40,000-$44,999","SCARBOROUGH"
"756","Strongly oppose","Female","34","University undergraduate degree","$95,000-$99,999","TORONTO"
"757","Somewhat support","Female","41","Graduated from college / CEGEP / Trade School","$25,000-$29,999","SCARBOROUGH"
"758","Strongly support","Female","51","University undergraduate degree","$95,000-$99,999","NORTH YORK"
"759","Strongly support","Female","28","University undergraduate degree","Prefer not to answer","TORONTO"
"760","Strongly support","Female","31","University undergraduate degree","$250,000 or more","NORTH YORK"
"761","Somewhat support","Male","31","Some college / CEGEP / Trade School","$150,000-$199,999","SCARBOROUGH"
"762","Somewhat support","Male","22","Some college / CEGEP / Trade School","$125,000-$149,999","ETOBICOKE"
"763","Somewhat oppose","Female","71","University undergraduate degree","$150,000-$199,999","TORONTO"
"764","Somewhat support","Male","40","Some college / CEGEP / Trade School","$75,000-$79,999","TORONTO"
"765","Strongly support","Female","52","Some college / CEGEP / Trade School","$5,000-$9,999","SCARBOROUGH"
"766","Somewhat support","Female","61","Graduated from college / CEGEP / Trade School","$55,000-$59,999","TORONTO"
"767","Strongly support","Male","29","University undergraduate degree","$100,000-$124,999","ETOBICOKE"
"768","Don?t know","Female","25","Graduated from college / CEGEP / Trade School","Prefer not to answer","SCARBOROUGH"
"769","Somewhat support","Female","48","University undergraduate degree","Prefer not to answer","EAST YORK"
"770","Strongly support","Female","41","University undergraduate degree","$200,000-$249,999","TORONTO"
"771","Strongly support","Male","59","Graduated from college / CEGEP / Trade School","$55,000-$59,999","TORONTO"
"772","Strongly support","Female","32","Some university, but did not finish","Prefer not to answer","SCARBOROUGH"
"773","Somewhat support","Male","25","Graduated from college / CEGEP / Trade School","Less than $5,000","SCARBOROUGH"
"774","Somewhat support","Male","32","University graduate degree","$65,000-$69,999","SCARBOROUGH"
"775","Strongly support","Female","68","University undergraduate degree","$30,000-$34,999","SCARBOROUGH"
"776","Strongly support","Female","64","Some university, but did not finish","$35,000-$39,999","NORTH YORK"
"777","Strongly oppose","Female","26","University undergraduate degree","$65,000-$69,999","TORONTO"
"778","Strongly support","Female","22","University undergraduate degree","$45,000-$49,999","TORONTO"
"779","Somewhat support","Female","40","University undergraduate degree","$80,000-$84,999","NORTH YORK"
"780","Don?t know","Male","54","Graduated from college / CEGEP / Trade School","$60,000-$64,999","ETOBICOKE"
"781","Strongly support","Male","64","University undergraduate degree","$125,000-$149,999","ETOBICOKE"
"782","Somewhat support","Female","34","University undergraduate degree","$30,000-$34,999","TORONTO"
"783","Strongly support","Male","34","Some university, but did not finish","$35,000-$39,999","EAST YORK"
"784","Strongly support","Male","70","Some college / CEGEP / Trade School","$65,000-$69,999","TORONTO"
"785","Strongly support","Female","45","University graduate degree","Less than $5,000","TORONTO"
"786","Somewhat oppose","Female","46","University graduate degree","$50,000-$54,999","NORTH YORK"
"787","Somewhat support","Female","16","Some high school","Prefer not to answer","ETOBICOKE"
"788","Strongly support","Female","44","Graduated high school","$50,000-$54,999","TORONTO"
"789","Strongly support","Male","18","Some high school","Less than $5,000","NORTH YORK"
"790","Somewhat support","Male","56","Some college / CEGEP / Trade School","$35,000-$39,999","SCARBOROUGH"
"791","Strongly support","Female","76","University undergraduate degree","Prefer not to answer","NORTH YORK"
"792","Somewhat support","Female","54","Some university, but did not finish","$125,000-$149,999","ETOBICOKE"
"793","Somewhat oppose","Female","59","Graduated high school","$30,000-$34,999","SCARBOROUGH"
"794","Somewhat support","Female","24","University undergraduate degree","$100,000-$124,999","TORONTO"
"795","Strongly support","Male","29","Some high school","$60,000-$64,999","SCARBOROUGH"
"796","Somewhat support","Male","25","Some university, but did not finish","$95,000-$99,999","NORTH YORK"
"797","Somewhat support","Male","16","Graduated high school","$15,000-$19,999","NORTH YORK"
"798","Neither support nor oppose","Female","36","Graduated from college / CEGEP / Trade School","$40,000-$44,999","NORTH YORK"
"799","Somewhat support","Male","18","Graduated high school","$95,000-$99,999","NORTH YORK"
"800","Strongly oppose","Female","28","University graduate degree","$250,000 or more","TORONTO"
"801","Strongly support","Female","26","Graduated from college / CEGEP / Trade School","$45,000-$49,999","TORONTO"
"802","Somewhat support","Female","33","University graduate degree","$100,000-$124,999","ETOBICOKE"
"803","Somewhat support","Female","45","University undergraduate degree","$95,000-$99,999","SCARBOROUGH"
"804","Strongly support","Female","20","Some university, but did not finish","$125,000-$149,999","TORONTO"
"805","Somewhat support","Female","41","Graduated from college / CEGEP / Trade School","$40,000-$44,999","NORTH YORK"
"806","Neither support nor oppose","Female","29","University graduate degree","$65,000-$69,999","TORONTO"
"807","Strongly support","Male","34","University undergraduate degree","$125,000-$149,999","SCARBOROUGH"
"808","Strongly support","Male","57","University undergraduate degree","$250,000 or more","NORTH YORK"
"809","Strongly support","Female","57","University undergraduate degree","$95,000-$99,999","NORTH YORK"
"810","Somewhat support","Female","22","University graduate degree","$100,000-$124,999","TORONTO"
"811","Strongly support","Female","30","University graduate degree","$95,000-$99,999","YORK"
"812","Strongly support","Male","72","University undergraduate degree","$75,000-$79,999","TORONTO"
"813","Strongly support","Male","36","University undergraduate degree","$125,000-$149,999","TORONTO"
"814","Somewhat support","Male","19","Graduated high school","$10,000-$14,999","YORK"
"815","Strongly support","Female","31","University undergraduate degree","$100,000-$124,999","YORK"
"816","Neither support nor oppose","Male","19","Some college / CEGEP / Trade School","$250,000 or more","SCARBOROUGH"
"817","Somewhat support","Male","18","Some high school","$100,000-$124,999","TORONTO"
"818","Strongly oppose","Male","52","University undergraduate degree","$150,000-$199,999","NORTH YORK"
"819","Strongly oppose","Female","18","Some college / CEGEP / Trade School","Less than $5,000","TORONTO"
"820","Neither support nor oppose","Female","26","University graduate degree","$65,000-$69,999","TORONTO"
"821","Strongly support","Male","29","University graduate degree","Prefer not to answer","TORONTO"
"822","Somewhat support","Female","60","Graduated from college / CEGEP / Trade School","$100,000-$124,999","YORK"
"823","Strongly oppose","Male","32","University undergraduate degree","$20,000-$24,999","TORONTO"
"824","Strongly support","Male","55","University undergraduate degree","$40,000-$44,999","NORTH YORK"
"825","Strongly support","Male","55","Graduated high school","$70,000-$74,999","YORK"
"826","Neither support nor oppose","Male","65","University graduate degree","$100,000-$124,999","SCARBOROUGH"
"827","Somewhat support","Male","43","University graduate degree","$250,000 or more","ETOBICOKE"
"828","Strongly support","Male","57","University graduate degree","$150,000-$199,999","YORK"
"829","Somewhat support","Male","30","Some high school","$20,000-$24,999","SCARBOROUGH"
"830","Neither support nor oppose","Male","37","Some college / CEGEP / Trade School","$20,000-$24,999","TORONTO"
"831","Strongly support","Male","52","Graduated from college / CEGEP / Trade School","$50,000-$54,999","TORONTO"
"832","Somewhat support","Male","24","University undergraduate degree","$50,000-$54,999","TORONTO"
"833","Somewhat support","Male","44","University undergraduate degree","$150,000-$199,999","TORONTO"
"834","Somewhat support","Male","64","University graduate degree","$150,000-$199,999","NORTH YORK"
"835","Strongly support","Male","57","Graduated from college / CEGEP / Trade School","$50,000-$54,999","TORONTO"
"836","Somewhat support","Male","25","University graduate degree","$35,000-$39,999","NORTH YORK"
"837","Strongly support","Male","19","University undergraduate degree","$100,000-$124,999","NORTH YORK"
"838","Somewhat support","Male","55","Graduated from college / CEGEP / Trade School","$45,000-$49,999","SCARBOROUGH"
"839","Neither support nor oppose","Male","22","Some college / CEGEP / Trade School","$10,000-$14,999","SCARBOROUGH"
"840","Neither support nor oppose","Male","19","University graduate degree","$15,000-$19,999","NORTH YORK"
"841","Somewhat oppose","Male","19","Graduated high school","$90,000-$94,999","TORONTO"
"842","Neither support nor oppose","Male","31","Some college / CEGEP / Trade School","Prefer not to answer","NORTH YORK"
"843","Somewhat support","Female","65","Graduated from college / CEGEP / Trade School","$35,000-$39,999","SCARBOROUGH"
"844","Neither support nor oppose","Male","18","Some college / CEGEP / Trade School","$20,000-$24,999","NORTH YORK"
"845","Strongly support","Male","43","University graduate degree","$125,000-$149,999","ETOBICOKE"
"846","Neither support nor oppose","Male","43","University undergraduate degree","$125,000-$149,999","NORTH YORK"
"847","Somewhat support","Male","29","University undergraduate degree","$100,000-$124,999","SCARBOROUGH"
"848","Strongly support","Male","43","University undergraduate degree","$125,000-$149,999","TORONTO"
"849","Somewhat support","Male","54","University undergraduate degree","$100,000-$124,999","NORTH YORK"
"850","Neither support nor oppose","Male","29","Some university, but did not finish","Prefer not to answer","TORONTO"
"851","Strongly oppose","Male","66","University graduate degree","$150,000-$199,999","EAST YORK"
"852","Somewhat support","Male","46","University undergraduate degree","$150,000-$199,999","SCARBOROUGH"
"853","Somewhat support","Male","42","University undergraduate degree","$150,000-$199,999","ETOBICOKE"
"854","Somewhat oppose","Male","32","Some college / CEGEP / Trade School","$35,000-$39,999","TORONTO"
"855","Strongly support","Male","32","University undergraduate degree","$30,000-$34,999","YORK"
"856","Strongly support","Male","28","University undergraduate degree","$60,000-$64,999","TORONTO"
"857","Somewhat support","Male","29","University undergraduate degree","$95,000-$99,999","TORONTO"
"858","Strongly support","Male","34","Graduated high school","$25,000-$29,999","NORTH YORK"
"859","Neither support nor oppose","Male","32","University undergraduate degree","$90,000-$94,999","NORTH YORK"
"860","Somewhat oppose","Male","33","University undergraduate degree","$5,000-$9,999","ETOBICOKE"
"861","Don?t know","Female","41","Graduated high school","$100,000-$124,999","ETOBICOKE"
"862","Somewhat support","Female","61","Graduated from college / CEGEP / Trade School","$60,000-$64,999","ETOBICOKE"
"863","Strongly support","Female","49","University undergraduate degree","$100,000-$124,999","SCARBOROUGH"
"864","Strongly support","Male","53","University graduate degree","$150,000-$199,999","NORTH YORK"
"865","Somewhat oppose","Female","68","Graduated from college / CEGEP / Trade School","$65,000-$69,999","NORTH YORK"
"866","Somewhat support","Female","69","Graduated from college / CEGEP / Trade School","$20,000-$24,999","SCARBOROUGH"
"867","Strongly support","Male","68","University graduate degree","$100,000-$124,999","NORTH YORK"
"868","Strongly support","Female","65","Graduated high school","$95,000-$99,999","NORTH YORK"
"869","Strongly support","Male","49","Some university, but did not finish","$150,000-$199,999","SCARBOROUGH"
"870","Strongly support","Male","46","Graduated high school","Prefer not to answer","NORTH YORK"
"871","Strongly support","Female","55","Some university, but did not finish","Prefer not to answer","YORK"
"872","Neither support nor oppose","Male","50","University undergraduate degree","$100,000-$124,999","SCARBOROUGH"
"873","Strongly support","Male","70","University undergraduate degree","$100,000-$124,999","SCARBOROUGH"
"874","Neither support nor oppose","Female","33","University undergraduate degree","Prefer not to answer","ETOBICOKE"
"875","Strongly support","Male","41","University undergraduate degree","$125,000-$149,999","YORK"
"876","Somewhat support","Male","26","University undergraduate degree","$70,000-$74,999","NORTH YORK"
"877","Somewhat support","Male","81","Some college / CEGEP / Trade School","Prefer not to answer","SCARBOROUGH"
"878","Strongly support","Female","60","Graduated from college / CEGEP / Trade School","$70,000-$74,999","SCARBOROUGH"
"879","Strongly support","Female","35","University undergraduate degree","$55,000-$59,999","SCARBOROUGH"
"880","Strongly support","Male","44","Some college / CEGEP / Trade School","Prefer not to answer","NORTH YORK"
"881","Strongly support","Female","65","Some college / CEGEP / Trade School","$50,000-$54,999","SCARBOROUGH"
"882","Strongly support","Male","48","Graduated high school","$75,000-$79,999","YORK"
"883","Don?t know","Male","17","Some high school","Prefer not to answer","NORTH YORK"
"884","Strongly support","Male","22","University undergraduate degree","$65,000-$69,999","NORTH YORK"
"885","Strongly oppose","Male","23","University graduate degree","$10,000-$14,999","SCARBOROUGH"
"886","Strongly support","Male","68","University undergraduate degree","$125,000-$149,999","SCARBOROUGH"
"887","Somewhat oppose","Male","20","Some high school","Prefer not to answer","ETOBICOKE"
"888","Neither support nor oppose","Male","22","Some university, but did not finish","$15,000-$19,999","SCARBOROUGH"
"889","Strongly support","Male","46","Graduated from college / CEGEP / Trade School","Prefer not to answer","SCARBOROUGH"
"890","Strongly support","Male","29","University undergraduate degree","$100,000-$124,999","NORTH YORK"
"891","Strongly support","Male","70","University graduate degree","$35,000-$39,999","NORTH YORK"
"892","Strongly oppose","Male","61","Some college / CEGEP / Trade School","$100,000-$124,999","ETOBICOKE"
"893","Neither support nor oppose","Male","34","University graduate degree","Less than $5,000","ETOBICOKE"
"894","Strongly support","Male","55","University undergraduate degree","$70,000-$74,999","ETOBICOKE"
"895","Strongly support","Male","47","University undergraduate degree","$85,000-$89,999","SCARBOROUGH"
"896","Somewhat support","Male","46","Graduated from college / CEGEP / Trade School","$35,000-$39,999","YORK"
"897","Neither support nor oppose","Male","67","Primary school or less","$25,000-$29,999","ETOBICOKE"
"898","Strongly support","Male","50","Graduated from college / CEGEP / Trade School","$50,000-$54,999","ETOBICOKE"
"899","Strongly oppose","Male","19","Graduated high school","$20,000-$24,999","ETOBICOKE"
"900","Strongly oppose","Male","49","Graduated from college / CEGEP / Trade School","$50,000-$54,999","NORTH YORK"
"901","Somewhat oppose","Male","64","University graduate degree","$60,000-$64,999","ETOBICOKE"
"902","Strongly support","Male","59","Graduated from college / CEGEP / Trade School","$55,000-$59,999","NORTH YORK"
"903","Neither support nor oppose","Male","33","Graduated high school","$40,000-$44,999","SCARBOROUGH"
"904","Somewhat support","Male","65","University undergraduate degree","$55,000-$59,999","SCARBOROUGH"
"905","Somewhat oppose","Male","27","University undergraduate degree","$125,000-$149,999","NORTH YORK"
"906","Somewhat support","Male","34","Graduated high school","$95,000-$99,999","YORK"
"907","Strongly support","Male","25","University undergraduate degree","$40,000-$44,999","NORTH YORK"
"908","Neither support nor oppose","Male","36","Graduated from college / CEGEP / Trade School","$75,000-$79,999","SCARBOROUGH"
"909","Somewhat support","Male","75","University graduate degree","$150,000-$199,999","NORTH YORK"
"910","Strongly support","Male","23","Some university, but did not finish","$15,000-$19,999","ETOBICOKE"
"911","Strongly support","Male","43","Some college / CEGEP / Trade School","$70,000-$74,999","SCARBOROUGH"
"912","Strongly support","Male","27","University undergraduate degree","$75,000-$79,999","NORTH YORK"
"913","Somewhat support","Male","59","Some college / CEGEP / Trade School","$50,000-$54,999","SCARBOROUGH"
"914","Somewhat oppose","Male","69","Graduated from college / CEGEP / Trade School","$45,000-$49,999","SCARBOROUGH"
"915","Somewhat oppose","Male","69","Graduated from college / CEGEP / Trade School","$45,000-$49,999","SCARBOROUGH"
"916","Strongly support","Male","37","Graduated from college / CEGEP / Trade School","$60,000-$64,999","NORTH YORK"
"917","Neither support nor oppose","Male","53","University graduate degree","$150,000-$199,999","NORTH YORK"
"918","Strongly support","Male","31","Some high school","$10,000-$14,999","SCARBOROUGH"
"919","Strongly support","Male","32","University undergraduate degree","$200,000-$249,999","NORTH YORK"
"920","Strongly support","Male","42","University undergraduate degree","$125,000-$149,999","NORTH YORK"
"921","Strongly support","Male","65","University undergraduate degree","$200,000-$249,999","ETOBICOKE"
"922","Strongly support","Male","43","University graduate degree","$200,000-$249,999","SCARBOROUGH"
"923","Neither support nor oppose","Male","55","Graduated from college / CEGEP / Trade School","$100,000-$124,999","ETOBICOKE"
"924","Strongly support","Male","38","University graduate degree","$150,000-$199,999","NORTH YORK"
"925","Neither support nor oppose","Male","44","University undergraduate degree","$90,000-$94,999","NORTH YORK"
"926","Somewhat support","Male","43","University undergraduate degree","$35,000-$39,999","SCARBOROUGH"
"927","Somewhat support","Male","30","University undergraduate degree","$200,000-$249,999","NORTH YORK"
"928","Somewhat support","Male","53","University undergraduate degree","$15,000-$19,999","NORTH YORK"
"929","Strongly support","Male","34","University undergraduate degree","$250,000 or more","NORTH YORK"
"930","Strongly oppose","Male","53","Some university, but did not finish","$125,000-$149,999","SCARBOROUGH"
"931","Somewhat support","Male","73","University undergraduate degree","$85,000-$89,999","NORTH YORK"
"932","Somewhat support","Male","39","Some college / CEGEP / Trade School","$70,000-$74,999","SCARBOROUGH"
"933","Somewhat support","Male","30","Some university, but did not finish","$65,000-$69,999","NORTH YORK"
"934","Strongly support","Male","40","University graduate degree","$65,000-$69,999","NORTH YORK"
"935","Somewhat oppose","Male","51","Graduated from college / CEGEP / Trade School","$150,000-$199,999","SCARBOROUGH"
"936","Somewhat support","Male","47","University undergraduate degree","$125,000-$149,999","SCARBOROUGH"
"937","Neither support nor oppose","Male","29","University graduate degree","$70,000-$74,999","ETOBICOKE"
"938","Strongly support","Male","49","Graduated from college / CEGEP / Trade School","$100,000-$124,999","SCARBOROUGH"
"939","Strongly support","Female","17","Graduated high school","$75,000-$79,999","NORTH YORK"
"940","Strongly oppose","Male","32","Graduated from college / CEGEP / Trade School","$65,000-$69,999","ETOBICOKE"
"941","Somewhat support","Male","67","University undergraduate degree","$35,000-$39,999","SCARBOROUGH"
"942","Strongly support","Male","70","University undergraduate degree","$95,000-$99,999","SCARBOROUGH"
"943","Somewhat support","Male","50","University undergraduate degree","$100,000-$124,999","SCARBOROUGH"
"944","Strongly support","Male","45","Graduated from college / CEGEP / Trade School","Prefer not to answer","SCARBOROUGH"
"945","Somewhat support","Male","42","Graduated from college / CEGEP / Trade School","$90,000-$94,999","ETOBICOKE"
